radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,address
LTE,222,1,10853,128188941,0,9.213409,45.519791,1000,2,1,1424024597,1434740674,0,"Viale Piero e Alberto Pirelli, 25, 20126 Milano MI, Italy"
LTE,222,1,10853,128006921,0,9.210706,45.489781,1000,2,1,1443045255,1512109289,0,"Via Soperga, 39, 20127 Milano MI, Italy"
LTE,222,1,10853,128038915,0,9.199375,45.482433,1000,2,1,1457725527,1540542561,0,"Via Leopoldo Marangoni, 8, 038981 Milano MI, Italy"
LTE,222,1,24302,128248067,0,9.161911011,45.4813385,1000,3,1,1459817125,1491313247,0,"Domodossola, 20149 Milano MI, Italy"
LTE,222,1,10916,128376833,0,9.18457,45.477219,1000,2,1,1477608344,1482938505,0,"Corso Garibaldi, 86, 20121 Milano MI, Italy"
LTE,222,1,10919,128005383,0,9.151382,45.43602,1000,3,1,1481939656,1483171022,0,"Via Lago di Nemi, 23, 20142 Milano MI, Italy"
LTE,222,1,10917,128051201,0,9.18457,45.477219,1000,2,1,1458880465,1466600839,0,"Corso Garibaldi, 86, 20121 Milano MI, Italy"
LTE,222,1,10919,128039939,0,9.138412,45.45784,1000,9,1,1458880467,1482137619,0,"Via Bartolomeo D'Alviano, 51, 20146 Milano MI, Italy"
LTE,222,1,10919,128217869,0,9.181137,45.469322,1000,4,1,1458880467,1473750521,0,"Piazza Castello, 20121 Milano MI, Italy"
LTE,222,1,10918,128315650,0,9.240189,45.460739,1000,20,1,1458880466,1481895795,0,"Via Decorati Al Valor Civile, 10, 20138 Milano MI, Italy"
LTE,222,1,24673,128314625,0,9.196243286,45.46348572,1000,10,1,1458927002,1479179962,0,"Via Verziere, 11, 20122 Milano MI, Italy"
LTE,222,1,24689,128049411,0,9.204483,45.419223,1000,13,1,1458927003,1487564022,0,"Via Giuseppe Ripamonti, 367, 20141 Milano MI, Italy"
LTE,222,1,24691,128245509,0,9.158627,45.422406,1000,23,1,1458927003,1483448484,0,"Autostrada dei Giovi, 20142 Milano MI, Italy"
LTE,222,1,24692,128203010,0,9.20173645,45.43052673,1000,21,1,1458927003,1475580923,0,"Via Giuseppe Ripamonti, 212, 20141 Milano MI, Italy"
LTE,222,1,24692,128203016,0,9.20173645,45.43052673,1000,2,1,1458927003,1462407016,0,"Via Giuseppe Ripamonti, 212, 20141 Milano MI, Italy"
LTE,222,1,24674,128314627,0,9.192123413,45.46485901,1000,11,1,1458927002,1483021700,0,"Via Santa Radegonda, 1, 20121 Milano MI, Italy"
LTE,222,1,24690,128174339,0,9.149501,45.409826,1000,27,1,1458927003,1484665923,0,"Via del Bosco Rinnovato, 6, 20090 Milano MI, Italy"
LTE,222,1,24676,128021761,0,9.189376831,45.46897888,1000,11,1,1458927002,1491284545,0,"Via Monte Di Pieta' Via Verdi, 20121 Milano MI, Italy"
LTE,222,1,24269,128034825,0,9.149277,45.482712,1000,5,1,1458955640,1471478870,0,"Milan, Fiera Milano CIty (Viale Teodorico), 20149 Milano MI, Italy"
LTE,222,1,24269,128036866,0,9.162223,45.49632,1000,22,1,1458955640,1478871625,0,"Cavalcavia Adriano Bacula, Milano MI, Italy"
LTE,222,1,24271,128269313,0,9.164486,45.461597,1000,8,1,1458955641,1482115493,0,"Viale S. Michele del Carso, 25, 20144 Milano MI, Italy"
LTE,222,1,24301,128305409,0,9.101486206,45.51429749,1000,51,1,1458955642,1482372287,0,"Cascina Merlata, Milano MI, Italy"
LTE,222,1,24269,128286212,0,9.150924683,45.49919128,1000,2,1,1458955640,1476767635,0,"Via Grosseto, 1, 20156 Milano MI, Italy"
LTE,222,1,24269,128286214,0,9.139938354,45.49095154,1000,10,1,1458955641,1481597196,0,"Tunnel Gattamelata, 20151 Milano MI, Italy"
LTE,222,1,24304,128049668,0,9.130325,45.494385,1000,14,1,1458955644,1481642499,0,"Viale Alcide de Gasperi, 4, 20151 Milano MI, Italy"
LTE,222,1,24303,128229122,0,9.115032,45.515671,1000,22,1,1458955643,1474102125,0,"A4 Torino - Trieste, 20157 Milano MI, Italy"
LTE,222,1,24621,128234242,0,9.123458862,45.44563293,1000,19,1,1458955646,1486650979,0,"Via Lorenteggio, 219, 20147 Milano MI, Italy"
LTE,222,1,24269,128036872,0,9.162025,45.496445,1000,12,1,1458955640,1476062998,0,"Cavalcavia Adriano Bacula, Milano MI, Italy"
LTE,222,1,24270,128278533,0,9.153585,45.473099,1000,16,1,1458955641,1483285268,0,"Piazzale Giulio Cesare, 9, 20145 Milano MI, Italy"
LTE,222,1,24270,128048899,0,9.164657593,45.4813385,1000,5,1,1458955641,1480046420,0,"Corso Sempione, 41, 20145 Milano MI, Italy"
LTE,222,1,24301,128230658,0,9.098705,45.514297,1000,40,1,1458955642,1482372287,0,"Cascina Merlata, Milano MI, Italy"
LTE,222,1,24303,128220430,0,9.115219116,45.51567078,1000,6,1,1458955643,1461662506,0,"A4 Torino - Trieste, 20157 Milano MI, Italy"
LTE,222,1,24270,128257029,0,9.172897339,45.48408508,1000,3,1,1458955641,1481905341,0,"Via Giulio Cesare Procaccini, 18, 20154 Milano MI, Italy"
LTE,222,1,24270,128257025,0,9.175643921,45.48545837,1000,5,1,1458955641,1482169234,0,"Via Luigi Nono, 1, 20154 Milano MI, Italy"
LTE,222,1,24272,128269061,0,9.15214,45.509544,1000,26,1,1458955642,1491494796,0,"Via Dante Chiasserini, 101, 20157 Milano MI, Italy"
LTE,222,1,24304,128049671,0,9.1306,45.493698,1000,10,1,1458955644,1483285268,0,"Viale Alcide de Gasperi, 4, 20151 Milano MI, Italy"
LTE,222,1,24303,128243969,0,9.124832,45.516977,1000,41,1,1458955643,1482372287,0,"A4 Torino - Trieste, 20157 Milano MI, Italy"
LTE,222,1,24303,128291078,0,9.130325317,45.50468445,1000,7,1,1458955643,1481691311,0,"Via Sapri, 64, 20156 Milano MI, Italy"
LTE,222,1,24272,128005123,0,9.165802,45.467606,1000,6,1,1458955641,1481771263,0,"Piazza della Conciliazione, 5, 20123 Milano MI, Italy"
LTE,222,1,24271,128013315,0,9.148428,45.461863,1000,11,1,1458955641,1482343509,0,"Viale Ergisto Bezzi, 73, 20146 Milano MI, Italy"
LTE,222,1,24302,128230145,0,9.116487,45.515671,1000,13,1,1458955643,1474102125,0,"A4 Torino - Trieste, 20157 Milano MI, Italy"
LTE,222,1,24302,128258051,0,9.12241,45.497216,1000,9,1,1458955643,1506178406,0,"Via Sem Benelli, 12, 20151 Milano MI, Italy"
LTE,222,1,24304,128161537,0,9.067126,45.498065,1000,50,1,1458955644,1483206959,0,"SPexSS11, 20153 Milano MI, Italy"
LTE,222,1,24621,128215811,0,9.124832,45.443129,1000,17,1,1458955646,1491356808,0,"Via Francesco Gonin 25/A/Torre, 20147 Milano MI, Italy"
LTE,222,1,24621,128353794,0,9.076767,45.466099,1000,31,1,1458955646,1476629655,0,"Via Budrio, 44, 20153 Milano MI, Italy"
LTE,222,1,24622,128046849,0,9.075654,45.462776,2454,36,1,1458955646,1533567936,0,"Via Seguro, 111, 20153 Milano MI, Italy"
LTE,222,1,24622,128055043,0,9.076766968,45.46211243,1000,39,1,1458955646,1492102571,0,"Via Seguro, 111, 20153 Milano MI, Italy"
LTE,222,1,24303,128256259,0,9.127425,45.508876,1000,10,1,1458955643,1540536255,0,"Via Giovanni Gentile, 3, 20157 Milano MI, Italy"
LTE,222,1,24303,128291075,0,9.133987,45.504799,1000,12,1,1458955643,1482372287,0,"Via Angelo Brunetti, 13, 20156 Milano MI, Italy"
LTE,222,1,24303,128220429,0,9.113845825,45.51567078,1000,2,1,1458955643,1459513202,0,"Zona Stephenson, Milano MI, Italy"
LTE,222,1,24304,128161549,0,9.067062,45.496353,1000,15,1,1458955644,1482513480,0,"A50, 20153 Milano MI, Italy"
LTE,222,1,24304,128222978,0,9.14772,45.503311,1000,3,1,1458955644,1469536564,0,"Via Michele Pericle Negrotto, 31, 20157 Milano MI, Italy"
LTE,222,1,24621,128318467,0,9.091873169,45.45387268,1000,5,1,1458955646,1482336290,0,"Via Benozzo Gozzoli, 93, 20152 Milano MI, Italy"
LTE,222,1,24622,128046856,0,9.076532,45.448026,1000,35,1,1458955646,1484406868,0,"A50, 20152 Milano MI, Italy"
LTE,222,1,24622,128055049,0,9.075394,45.461512,1000,16,1,1458955646,1491057257,0,"Via Seguro, 111, 20153 Milano MI, Italy"
LTE,222,1,24303,128243972,0,9.124034,45.517044,1000,86,1,1458955643,1483708604,0,"A4 Torino - Trieste, 20157 Milano MI, Italy"
LTE,222,1,24303,128153345,0,9.124861,45.517278,1000,47,1,1458955643,1482132993,0,"A4 Torino - Trieste, 20157 Milano MI, Italy"
LTE,222,1,24303,128256258,0,9.1329,45.507259,1000,8,1,1458955643,1481719505,0,"Via Antonio Mambretti, 9, 20157 Milano MI, Italy"
LTE,222,1,24304,128222985,0,9.130497,45.506058,1000,8,1,1458955644,1480686239,0,"Via Alassio, 10, 20156 Milano MI, Italy"
LTE,222,1,24303,128153350,0,9.113845825,45.51567078,1000,56,1,1458955643,1483708604,0,"Zona Stephenson, Milano MI, Italy"
LTE,222,1,24269,128358402,0,9.150924683,45.47447205,1000,22,1,1460434339,1492020140,0,"Via Monte Bianco, 2, 20149 Milano MI, Italy"
LTE,222,1,24269,128335874,0,9.167404175,45.47584534,1000,11,1,1460449317,1491371043,0,"Via Abbondio Sangiorgio, 12, 20145 Milano MI, Italy"
LTE,222,1,24302,128036097,0,9.130234,45.503128,1000,15,1,1458955642,1490635221,0,"Via Sapri, 64, 20156 Milano MI, Italy"
